Iteration,Inlet Monitor Point Temperature (°C),Outlet Monitor Point Temperature (°C),TPU Monitor Point Temperature (°C),VRM 1 Monitor Point Temperature (°C),VRM 2 Monitor Point Temperature (°C),VRM 3 Monitor Point Temperature (°C),VRM 4 Monitor Point Temperature (°C),HBM 1 Monitor Point Temperature (°C),HBM 2 Monitor Point Temperature (°C),HBM 3 Monitor Point Temperature (°C),HBM 4 Monitor Point Temperature (°C),HBM 5 Monitor Point Temperature (°C),HBM 6 Monitor Point Temperature (°C),HBM 7 Monitor Point Temperature (°C),HBM 8 Monitor Point Temperature (°C),Inlet Monitor Point Pressure (N/m2),Outlet Monitor Point Pressure (N/m2)
61,35.0,46.80676246792834,154.26805055957186,269.9333924616122,265.1976823224315,265.24129312607386,262.8042421075076,132.82112502021238,132.37349634448574,137.65807775598603,137.5805795743667,134.53853738793515,133.72690330902023,141.27514332159762,141.52314997167548,33744.217008411586,12369.04815877793
62,35.0,46.86252154654513,154.90051601482674,271.1196037823453,266.35643402801173,266.39546613457367,263.941960292465,133.35665866234416,132.90784446852626,138.21868322064867,138.1417715144102,135.08612309914318,134.27156083243392,141.85689541284938,142.10704688717718,33785.31420250741,12355.686924653
63,35.0,46.91661522337261,155.51198696889045,272.26626105527777,267.47655203217965,267.5111589029278,265.0417497430911,133.87444660497482,133.42448662731857,138.76070266954264,138.68435778216414,135.61555916934603,134.79816685704313,142.41935273035108,142.67157714222387,33825.23740783587,12342.976950127964
64,35.0,46.96910988356775,156.10317764800317,273.37470055512335,268.55934176298666,268.5896717157242,266.1048922595056,134.37509418633255,133.92402682734328,139.28476960523994,139.20897253901558,136.1274644754214,135.307336970356,142.96317253166347,143.21740040375713,33864.03653917744,12330.906974299183
65,35.0,47.02006316678727,156.67477181962872,274.44620724901796,269.6060583747743,269.6322547562314,267.13262016004086,134.85917993539928,134.40704231047008,139.7914897771,139.71622217105792,136.62243063123438,135.79965960711596,143.48898352495385,143.74514770857135,33901.75331783947,12319.45959317623
66,35.0,47.06952451026706,157.2274240632843,275.4820167661252,270.6179086831282,270.64011003557425,268.12611818965325,135.3272567204213,134.8740847009723,140.28144236141853,140.20668646997987,137.1010231513568,136.27569720932556,143.99738707583023,144.25542267285456,33938.42179623358,12308.61171553782
67,35.0,47.117535833675596,157.7617611587522,276.48331746120374,271.59605319495535,271.614393417227,269.08652552434773,135.77985301890163,135.32568127407353,140.75518126199793,140.6809199343511,137.56378273575845,136.73598750736676,144.48895853370223,144.7488028211651,33974.06902484734,12298.335163485257
68,35.0,47.164132340738426,158.27838356748865,277.45125254873653,272.5416082102458,272.55621671337764,270.01493784814625,136.21747428475211,135.7623363217021,141.21323650685238,141.13945316701847,138.01122665116523,137.1810448979074,144.96424865341248,145.2258410105913,34008.71583658623,12288.597392592319
69,35.0,47.20934341071937,158.7778669811059,278.3869222822556,273.4556479701142,273.46664982775405,270.91240947716807,136.6406043863477,136.18453258919496,141.6561157148246,141.58279434239134,138.44385018284362,137.61136189234983,145.42378508594436,145.6870669239026,34042.377721551566,12279.362304642593
70,35.0,47.253193551787305,159.26076390971895,279.291386152389,274.3392068246132,274.3467229183952,271.7799555042833,137.0497070881469,136.59273275561287,142.08430560481176,142.01143071631273,138.86212812949105,138.02741060849712,145.86807391093112,146.13298860442023,34075.065764263985,12270.591124891645
71,35.0,47.29570338807702,159.72760528270464,280.16566507688447,275.1932813935355,275.1974285535812,272.6185539375332,137.4452275483017,136.98738093008845,142.49827352005505,142.4258301509733,139.26651631367085,138.4296442778721,146.29760118344873,146.56409400509247,34106.78761512182,12262.243315573925
72,35.0,47.33689065282762,160.17890203496927,281.0107435563915,276.0188326939548,276.0197238346652,273.429147806038,137.82759380523268,137.3689041371824,142.89846894050098,142.8264426278757,139.65745308078272,138.8184987416762,146.7128344681258,146.9808525248104,34137.54846846019,12254.277497952584
73,35.0,47.376771161293284,160.61514665310867,281.82757177104895,276.81678820951794,276.8145324608141,274.21264720838184,138.19721822743884,137.7377137655146,143.28532495753234,143.21370172314857,140.0353607608522,139.19439390966835,147.11422433489446,147.3837165062909,34167.35202088772,12246.652356524177
74,35.0,47.4153597390901,161.03681465779167,282.6170675948461,277.5880438784262,277.5827467125914,274.9699312803874,138.554498902759,138.09420695588688,143.65925968731625,143.58802602145795,140.40064706937073,139.55773515819186,147.50220579265377,147.7731226718005,34196.201385547836,12239.327500962314
75,35.0,47.4526710841795,161.4443660012105,283.3801185072219,278.33346597953835,278.32522933380864,275.70185006168947,138.8998209458223,138.43876790763247,144.02067760153335,143.949820447281,140.75370642593606,139.90891464609612,147.87719963963355,148.14949347551055,34224.09994048882,12232.264263923438
76,35.0,47.48872054369021,161.83824636142288,284.1175833843231,279.0538928989871,279.04281529403323,276.40922624347644,139.2335577054061,138.7717690849103,144.36997075723463,144.2994774952891,141.09492117242542,140.24831253028205,148.2396137122272,148.51323835425495,34251.05209232849,12225.42641584213
77,35.0,47.52352479013862,162.2188883187473,284.83029415566074,279.75013676302024,279.73631341745863,277.0928567830892,139.55607185676286,139.09357230800353,144.70751991091285,144.63737834492807,141.4246626757753,140.57629806594224,148.58984401740395,148.8647548618024,34277.063939758504,12218.780781203772
78,35.0,47.55710238520845,162.58671240295325,285.51905731546475,280.42298492633785,280.4065078674034,277.7535143747275,139.86771636755944,139.4045297182653,145.03369550545784,144.96389384786485,141.7432923040229,140.89323058014804,148.92827573738958,149.2044296753351,34302.143825033934,12212.297744385687
